Subregion,FlowName,Emission_factor,Compartment,Unit,Year
AKGD,"1,2,4-Trimethylbenzene",1.573465559034362e-07,air,kg,2016
AKGD,2-Methylnaphthalene,2.8821823915213367e-09,air,kg,2016
AKGD,Acetaldehyde,0.00012014556662338567,air,kg,2016
AKGD,Acrolein,1.9235165745990034e-05,air,kg,2016
AKGD,Ammonia,7.817825418721305e-06,air,kg,2016
AKGD,Arsenic,4.517039490009176e-06,air,kg,2016
AKGD,Barium compounds,0.00012075739984219121,air,kg,2016
AKGD,Barium compounds,0.05686439481902672,ground,kg,2016
AKGD,Benzene,3.802193023859292e-05,air,kg,2016
AKGD,Benzo[ghi]perylene,7.158711331897026e-12,air,kg,2016
AKGD,CHROMIUM,0.00018277242121958224,waste,kg,2016
AKGD,COMPRESSED GAS,0.001089986334500656,waste,kg,2016
AKGD,CORROSIVE WASTE,0.09836461273541086,waste,kg,2016
AKGD,Cadmium,7.141654006574339e-07,air,kg,2016
AKGD,Carbon dioxide,485.51325044012407,air,kg,2016
AKGD,Carbon monoxide,0.4676865342243462,air,kg,2016
AKGD,Chromium(III),1.6204544776364597e-07,air,kg,2016
AKGD,Chromium(VI),6.741585422228019e-09,air,kg,2016
AKGD,Cobalt,1.0143302837113717e-08,air,kg,2016
AKGD,Cyclohexane,0.0002783772922883499,air,kg,2016
AKGD,Ethylbenzene,0.00013091364916361097,air,kg,2016
AKGD,Fluoranthene,3.661484926567878e-10,air,kg,2016
AKGD,Fluorene,3.432642118657386e-10,air,kg,2016
AKGD,Formaldehyde,0.002147402670135389,air,kg,2016
AKGD,Heat,9801.887781794258,input,MJ,2016
AKGD,Hexane,0.00021827319394492506,air,kg,2016
AKGD,Lead,0.00013734463267363643,air,kg,2016
AKGD,Lead compounds,1.530393958772635e-05,air,kg,2016
AKGD,Lead compounds,0.0006003625373286404,ground,kg,2016
AKGD,Lead compounds,1.489225702488586e-09,water,kg,2016
AKGD,Manganese,3.3399249869038115e-05,air,kg,2016
AKGD,Manganese compounds,3.335348130745602e-05,air,kg,2016
AKGD,Manganese compounds,0.01408663072281618,ground,kg,2016
AKGD,Mercury,2.1581152129283746e-06,air,kg,2016
AKGD,Mercury,3.0036925185786733e-06,ground,kg,2016
AKGD,Mercury compounds,1.0714852723837368e-06,air,kg,2016
AKGD,Mercury compounds,1.3882612480825801e-06,ground,kg,2016
AKGD,Methane,0.03479844557425544,air,kg,2016
AKGD,Naphthalene,5.56451828859048e-06,air,kg,2016
AKGD,Nickel,2.529640768524092e-07,air,kg,2016
AKGD,Nitrogen oxides,2.9586613377131616,air,kg,2016
AKGD,Nitrous oxide,0.004957747624665887,air,kg,2016
AKGD,OTH INORGANIC LIQUID,0.0022264970303435905,waste,kg,2016
AKGD,OTH ORGANIC LIQUID,0.0005582525350961194,waste,kg,2016
AKGD,"Particulate matter, ≤ 10μm",0.053506082501871194,air,kg,2016
AKGD,"Particulate matter, ≤ 2.5μm",0.035274400864333734,air,kg,2016
AKGD,Phenanthrene,2.034845508177081e-09,air,kg,2016
